TEAM,TOI 5v5,TOI 5v4,TOI 5v3,TOI 4v5,TOI 4v4,TOI 4v3,TOI 3v5,TOI 3v4,TOI 3v3,5v5 TOI Tot,5v5 GF,5v5 GA,5v5 GF/60,5v5 SF/60,5v5 Sh%,5v5 GA/60,5v5 SA/60,5v5 Sv%,5v5 +-per60,5v4 TOI Tot,5v4 GF,5v4 GA,5v4 GF/60,5v4 SF/60,5v4 Sh%,5v4 GA/60,5v4 SA/60,5v4 Sv%,5v4 +-per60,4v5 TOI Tot,4v5 GF,4v5 GA,4v5 GF/60,4v5 SF/60,4v5 Sh%,4v5 GA/60,4v5 SA/60,4v5 Sv%,4v5 +-per60
NYR,49.7,4.5,0.1,4.8,1.5,0.1,0.1,0.1,0,3923.1,180,134,2.8,30.5,910,2,29.7,931,0.7,356.5,36,6,6.1,53.5,887,1,9.4,893,5,375.4,9,30,1.4,12.9,889,4.8,41.7,885,-3.4
MIN,48.7,5.2,0.1,4.8,1.7,0,0.1,0,0,3846.4,171,146,2.7,30.2,912,2.3,27.4,917,0.4,408.9,35,3,5.1,56.2,909,0.4,7.3,940,4.7,382.1,4,29,0.6,6.6,905,4.6,44.7,898,-3.9
VAN,48.7,4.7,0.1,5.3,1.6,0.1,0.1,0.1,0,3846.1,163,167,2.5,29.9,915,2.6,29.4,911,-0.1,373.4,40,2,6.4,50.1,872,0.3,8.8,964,6.1,421.4,6,35,0.9,10.5,919,5,45,889,-4.1
PIT,47.5,5.2,0.1,5.5,2.2,0.1,0.1,0.2,0,3750.2,144,139,2.3,30.6,925,2.2,27.5,919,0.1,412.8,41,11,6,55.4,892,1.6,9.6,833,4.4,435.4,7,38,1,9,892,5.2,57,908,-4.3
OTT,47.8,5.6,0.1,5.3,2.4,0,0,0.1,0,3776.9,161,142,2.6,29.6,913,2.3,31.7,929,0.3,440.8,41,8,5.6,52.5,894,1.1,8.8,877,4.5,415.6,6,38,0.9,10.1,914,5.5,52.8,896,-4.6
CHI,49.4,5.4,0.1,4.3,1.6,0.1,0.1,0,0,3950.3,164,134,2.5,33.3,925,2,30,932,0.5,429,42,7,5.9,52.3,888,1,8.1,879,4.9,342.6,2,29,0.4,8.4,958,5.1,55.9,909,-4.7
ATL,47.1,5.2,0.2,6.2,1.8,0.2,0.2,0.1,0,3724.3,145,129,2.3,29,920,2.1,27.2,923,0.3,410.3,43,5,6.3,49.7,874,0.7,9.8,925,5.6,487.1,10,49,1.2,9.2,867,6,48,874,-4.8
MTL,48.7,4.8,0.1,5,2.1,0.1,0.1,0.1,0,3845.8,153,126,2.4,28.2,915,2,29.5,933,0.4,379,35,4,5.5,46.7,881,0.6,9.7,934,4.9,398.8,6,38,0.9,7.8,885,5.7,49.5,884,-4.8
STL,48.6,4.9,0.1,5.2,2,0.1,0,0.1,0,3886.4,168,140,2.6,30.1,914,2.2,26.7,919,0.4,393.2,51,5,7.8,56.1,861,0.8,8.2,907,7,418.3,2,37,0.3,8.3,966,5.3,43.9,879,-5
T.B,47.9,5.4,0.2,5.2,1.7,0.1,0.1,0,0,3739,183,141,2.9,30.9,905,2.3,26.8,916,0.7,422.4,45,6,6.4,35.4,819,0.9,7.2,882,5.5,402.3,7,41,1,7.8,865,6.1,56.7,892,-5.1
WSH,48.8,4.4,0.1,5.2,2.2,0,0.1,0.1,0,3853.5,155,136,2.4,28.3,915,2.1,27.4,923,0.3,346.3,56,4,9.7,60.5,840,0.7,11.6,940,9,412.3,4,40,0.6,9.5,938,5.8,50.3,884,-5.2
ANA,48.8,4.7,0.1,5.2,1.8,0.1,0.2,0.1,0,3903.6,165,159,2.5,28.8,912,2.4,28.3,914,0.1,378.6,32,6,5.1,53.4,905,1,9.7,902,4.1,417.4,9,45,1.3,12.4,895,6.5,45.7,858,-5.2
CGY,49.9,5.3,0.1,3.7,1.7,0,0.1,0,0,3995,165,159,2.5,25.8,904,2.4,29.7,920,0.1,425.2,45,2,6.3,49.8,873,0.3,7.9,964,6.1,295.8,6,33,1.2,10.5,885,6.7,46.7,857,-5.5
NYI,49.5,5.1,0.1,4.2,1.7,0.1,0.1,0.1,0,3864.6,171,157,2.7,32.4,918,2.4,27.5,911,0.2,400,42,3,6.3,52.4,880,0.5,8,943,5.9,324,10,43,1.9,13.5,863,8,50.7,843,-6.1
DET,47.3,5.6,0.1,5.6,2.2,0.1,0.2,0.1,0,3737.4,142,135,2.3,28.6,920,2.2,26.8,919,0.1,442.3,63,8,8.5,53,839,1.1,9.6,887,7.5,439.3,3,48,0.4,8.1,949,6.6,53,876,-6.1
NSH,49.1,5.3,0.1,4.6,1.7,0.1,0.1,0.1,0,3879.9,169,140,2.6,31.5,917,2.2,28,923,0.4,419.3,38,4,5.4,49.9,891,0.6,7,918,4.9,365.1,4,42,0.7,7.7,915,6.9,49.5,860,-6.2